Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
META,709.38,Put,757.5,2025-10-17T16:30:00-05:00,1,"47.70 x 48","49.65 x 125",49.65,5720,ask,28399800,5723,643,76.75%,-0.9470491024,MLFT,BuyToOpen,"14:53:15 ET"
FICO,1622.2,Put,1850,2025-10-17T16:30:00-05:00,1,"219.10 x 1","236.60 x 1",236.6,1200,ask,28392000,1345,106,199.26%,-0.8864283454,MLFT,BuyToOpen,"14:51:41 ET"
ALAB,161.21,Put,240,2025-10-17T16:30:00-05:00,1,"76.90 x 106","79.40 x 14",78,3600,mid,28080000,4200,532,0.00%,0,SLFT,ToOpen,"14:36:21 ET"
ACN,235.52,Put,330,2026-01-16T16:30:00-06:00,92,"92.70 x 42","96.40 x 21",96.4,2880,ask,27763200,3582,426,49.95%,-0.8940855073,MLFT,BuyToOpen,"14:50:11 ET"
MSTR,286.29,Put,380,2025-10-17T16:30:00-05:00,1,"93.35 x 63","94.85 x 43",93.35,2960,bid,27631600,2997,318,210.86%,-0.9945133058,MLFT,SellToOpen,"15:04:02 ET"
MRNA,27.55,Put,165,2026-01-16T16:30:00-06:00,92,"136.45 x 673","138.70 x 590",137.55,2000,mid,27510000,2000,463,186.86%,-0.9546464141,MLFT,ToOpen,"14:41:27 ET"
MRNA,27.235,Put,165,2026-01-16T16:30:00-06:00,92,"136.95 x 811","138.70 x 680",137.45,2000,mid,27490000,4000,463,202.47%,-0.9295573714,SLFT,N/A,"15:41:45 ET"
MRNA,27.55,Put,170,2026-01-16T16:30:00-06:00,92,"141.35 x 108","143.75 x 119",142.55,1920,mid,27369600,2001,1,189.69%,-0.9543042529,MLFT,ToOpen,"14:41:27 ET"
LULU,163.79,Put,300,2026-01-16T16:30:00-06:00,92,"133.05 x 29","139.25 x 46",139.25,1870,ask,26039700,1870,218,93.29%,-0.8649370889,MLFT,BuyToOpen,"14:53:32 ET"
TSLA,422.39,Put,475,2025-10-17T16:30:00-05:00,1,"52.40 x 50","52.90 x 21",52.8,4740,mid,25027200,4777,3382,112.01%,-0.9762102457,SLFT,ToOpen,"14:37:23 ET"
META,709.38,Put,760,2025-10-17T16:30:00-05:00,1,"50.05 x 131","52.00 x 95",51.99,4800,mid,24955200,7926,858,76.37%,-0.9564462474,MLFT,ToOpen,"14:53:15 ET"
APP,601.59,Call,115,2026-01-16T16:30:00-06:00,92,"479.70 x 12","491.80 x 11",486.64,498,mid,24234600,500,1001,109.92%,0.99950190214895,TLAT,N/A,"09:39:15 ET"
NFLX,1182.035,Put,1260,2025-10-17T16:30:00-05:00,1,"76.85 x 8","83.50 x 14",83.5,2900,ask,24215000,3211,331,56.86%,-0.9847944817,MLFT,BuyToOpen,"15:00:34 ET"
AXON,644.824,Put,750,2025-10-17T16:30:00-05:00,1,"100.10 x 1","109.00 x 16",109,2150,ask,23435000,3260,372,225.34%,-0.889172835,MLFT,BuyToOpen,"14:54:40 ET"
MSTR,284.4385,Put,405,2025-10-17T16:30:00-05:00,1,"119.15 x 42","120.50 x 18",119.8,1900,mid,22762000,1902,191,0.00%,0,SLFT,ToOpen,"14:31:55 ET"
TSLA,422.39,Put,480,2025-10-17T16:30:00-05:00,1,"56.40 x 58","58.15 x 16",57.75,3900,mid,22522500,3915,1241,115.66%,-0.981908432,SLFT,ToOpen,"14:37:23 ET"
AMD,235.085,Call,155,2026-03-20T16:30:00-05:00,155,"88.55 x 69","89.05 x 110",88.8,2533,mid,22493000,4011,4938,64.29%,0.89335631109965,MLET,N/A,"15:33:21 ET"
UNH,355.25,Put,600,2026-01-16T16:30:00-06:00,92,"241.30 x 51","246.30 x 29",244.1,890,mid,21724900,2420,98,0.00%,0,SLFT,N/A,"15:39:01 ET"
META,706.21,Put,790,2025-10-17T16:30:00-05:00,1,"82.35 x 18","84.60 x 20",83.4,2550,mid,21267000,2700,270,0.00%,0,SLFT,ToOpen,"14:39:06 ET"
AXON,644.824,Put,760,2025-10-17T16:30:00-05:00,1,"110.20 x 8","118.80 x 10",118.8,1790,ask,21265200,1791,175,235.99%,-0.8977536267,MLFT,BuyToOpen,"14:54:40 ET"
MSTR,286.93,Put,405,2025-10-17T16:30:00-05:00,1,"117.30 x 39","118.65 x 28",118.52,1790,mid,21215000,3692,191,0.00%,0,MLFT,N/A,"15:00:23 ET"
ALAB,164.19,Put,220,2025-10-17T16:30:00-05:00,1,"53.50 x 152","56.20 x 71",56.2,3763,ask,21148000,19232,1118,382.11%,-0.9136020871,MLFT,N/A,"15:12:52 ET"
UNH,356.2,Put,600,2026-01-16T16:30:00-06:00,92,"241.30 x 45","246.30 x 46",241.3,850,bid,20510500,1490,98,0.00%,-1.,MLFT,SellToOpen,"15:01:16 ET"
RACE,393.24,Put,500,2025-10-17T16:30:00-05:00,1,"104.80 x 7","108.70 x 8",104.8,1850,bid,19388000,3350,151,250.93%,-0.9611768342,MLFT,SellToOpen,"15:04:25 ET"
META,709.38,Put,765,2025-10-17T16:30:00-05:00,1,"55.25 x 26","57.25 x 159",55.25,3440,bid,19006000,3452,307,85.76%,-0.9518102608,MLFT,SellToOpen,"14:53:15 ET"
META,706.21,Put,775,2025-10-17T16:30:00-05:00,1,"67.35 x 20","69.60 x 30",68.5,2750,mid,18837500,2755,449,0.00%,0,SLFT,ToOpen,"14:39:06 ET"
AXON,644.824,Put,740,2025-10-17T16:30:00-05:00,1,"90.10 x 13","99.00 x 11",92.47,1970,mid,18216500,1976,197,0.00%,0,MLFT,ToOpen,"14:54:40 ET"
AXON,644.824,Put,770,2025-10-17T16:30:00-05:00,1,"120.10 x 20","128.70 x 23",120.1,1510,bid,18135100,1522,148,0.00%,0,MLFT,SellToOpen,"14:54:40 ET"
AVGO,354.041,Call,230,2027-06-17T16:30:00-05:00,609,"159.65 x 28","160.15 x 1129",160.15,1129,ask,18080900,1481,405,53.57%,0.84164287224494,AUTO,BuyToOpen,"13:39:42 ET"
MSTR,286.93,Put,500,2025-10-17T16:30:00-05:00,1,"212.25 x 6","213.75 x 11",213.74,820,mid,17526600,5760,252,0.00%,0,MLFT,N/A,"15:00:23 ET"
MSTR,286.29,Put,355,2025-10-17T16:30:00-05:00,1,"68.35 x 169","69.85 x 56",68.35,2470,bid,16882400,2495,268,135.91%,-0.9997550135,MLFT,SellToOpen,"15:04:02 ET"
ACN,235.52,Put,340,2026-01-16T16:30:00-06:00,92,"102.70 x 21","106.40 x 30",104.2,1610,mid,16776200,1610,208,39.05%,-0.9834614531,MLFT,ToOpen,"14:50:11 ET"
RACE,393.24,Put,460,2025-10-17T16:30:00-05:00,1,"64.40 x 8","68.80 x 8",64.69,2580,mid,16690000,4715,339,180.96%,-0.9462152012,MLFT,ToOpen,"15:04:25 ET"
TTD,49.975,Put,70,2025-10-17T16:30:00-05:00,1,"19.70 x 282","20.65 x 26",20.25,8150,mid,16503700,20939,4145,384.34%,-0.9424002964,SLFT,N/A,"15:51:50 ET"
BKNG,4949.0698,Put,6200,2025-11-21T16:30:00-06:00,36,"1,235.20 x 5","1,268.50 x 6",1268.5,130,ask,16490500,130,11,38.25%,-0.9860134624,MLFT,BuyToOpen,"14:49:08 ET"
META,709.38,Put,790,2025-10-17T16:30:00-05:00,1,"80.40 x 46","82.25 x 101",82.25,1990,ask,16367700,4690,270,116.44%,-0.9589850222,MLFT,N/A,"14:53:15 ET"
NFLX,1182.035,Put,1250,2025-10-17T16:30:00-05:00,1,"66.50 x 14","73.55 x 24",67.65,2400,mid,16236000,2425,279,70.72%,-0.9324738962,MLFT,ToOpen,"15:00:34 ET"
ORCL,318.9,Call,315,2025-10-24T16:30:00-05:00,8,"15.50 x 168","16.00 x 494",16,9990,ask,15984000,11885,12131,65.20%,0.57276749723945,AUTO,N/A,"13:39:12 ET"
LULU,163.79,Put,340,2026-01-16T16:30:00-06:00,92,"175.55 x 12","179.00 x 12",179,890,ask,15931000,1540,78,105.15%,-0.8803061413,MLFT,BuyToOpen,"14:53:32 ET"
META,709.38,Put,760,2025-10-17T16:30:00-05:00,1,"50.05 x 131","52.00 x 95",52,3050,ask,15860000,7926,858,76.37%,-0.9564462474,MLFT,N/A,"14:53:15 ET"
AMD,235.085,Call,150,2026-03-20T16:30:00-05:00,155,"92.60 x 136","93.15 x 20",92.88,1682,mid,15622400,4018,4383,64.74%,0.90599463788725,MLET,N/A,"15:33:21 ET"
RACE,393,Put,500,2025-10-17T16:30:00-05:00,1,"105.50 x 8","109.20 x 8",107.4,1425,mid,15304500,1500,151,219.16%,-0.9796645992,SLFT,ToOpen,"14:41:07 ET"
COIN,334.89,Call,195,2025-10-17T16:30:00-05:00,1,"137.10 x 230","143.50 x 38",140.53,1077,mid,15135000,1078,1086,521.48%,0.9829146524379,MLAT,N/A,"13:53:28 ET"
ADBE,328.02,Put,580,2026-01-16T16:30:00-06:00,92,"247.60 x 33","253.80 x 22",251.5,600,mid,15090000,1670,61,0.00%,0,SLFT,N/A,"15:45:34 ET"
BKNG,4957.5,Put,5500,2025-10-17T16:30:00-05:00,1,"527.60 x 11","558.70 x 8",558.7,270,ask,15084900,371,27,0.00%,0,MLFT,BuyToOpen,"14:55:14 ET"
COIN,334.89,Call,200,2025-12-19T16:30:00-06:00,64,"139.30 x 15","140.75 x 227",139.8,1077,mid,15056400,1082,2574,88.92%,0.94413811993807,MLAT,N/A,"13:53:28 ET"
ADBE,329.64,Put,580,2026-01-16T16:30:00-06:00,92,"246.40 x 27","253.10 x 21",250.4,600,mid,15024000,600,61,61.42%,-0.9836696063,SLFT,ToOpen,"14:36:43 ET"
ALAB,161.21,Put,222.5,2025-10-17T16:30:00-05:00,1,"59.60 x 112","62.10 x 11",60.8,2400,mid,14592000,2592,305,0.00%,0,SLFT,ToOpen,"14:36:21 ET"
SMR,55.648,Call,46,2025-10-17T16:30:00-05:00,1,"8.45 x 799","10.30 x 451",9.51,15000,mid,14265000,15033,16609,0.00%,0,MLAT,N/A,"10:36:47 ET"
FLUT,249.22,Put,340,2025-12-19T16:30:00-06:00,64,"88.90 x 27","92.90 x 22",89.47,1570,mid,14046700,2770,150,44.21%,-0.9759622576,MLFT,ToOpen,"14:54:22 ET"
UNH,356.2,Put,590,2026-01-16T16:30:00-06:00,92,"231.30 x 46","236.20 x 46",235.51,590,mid,13895000,1090,49,63.51%,-0.9314858019,MLFT,ToOpen,"15:01:16 ET"
MSTR,286.29,Put,375,2025-10-17T16:30:00-05:00,1,"88.40 x 39","89.65 x 37",89.65,1530,ask,13716400,1559,171,202.15%,-0.9942880319,MLFT,BuyToOpen,"15:04:02 ET"
ALAB,164.53,Put,240,2025-10-17T16:30:00-05:00,1,"74.70 x 138","77.70 x 121",77.7,1740,ask,13519800,5940,532,413.03%,-0.9494125772,MLFT,N/A,"14:53:24 ET"
NVDA,182.71,Call,150,2025-10-17T16:30:00-05:00,1,"32.65 x 24","32.75 x 24",32.67,4000,mid,13068000,6786,32555,171.61%,0.98751712226442,MLFT,N/A,"11:35:09 ET"
TXN,174.15,Put,210,2025-10-17T16:30:00-05:00,1,"34.20 x 101","35.90 x 15",35.05,3700,mid,12968400,3700,465,0.00%,0,SLFT,ToOpen,"14:31:00 ET"
AMD,235.085,Call,150,2026-03-20T16:30:00-05:00,155,"92.50 x 113","93.25 x 156",92.88,1392,mid,12928800,4018,4383,64.74%,0.90599463788725,MLFT,N/A,"15:33:20 ET"
MSTR,283.17,Put,350,2026-03-20T16:30:00-05:00,155,"90.45 x 18","92.20 x 7",91.58,1400,mid,12821200,1413,635,68.87%,-0.5931105155,MLET,ToOpen,"15:20:17 ET"
MSTR,284.4385,Put,410,2025-10-17T16:30:00-05:00,1,"124.15 x 16","125.50 x 12",124.75,1000,mid,12475000,1000,105,0.00%,0,SLFT,ToOpen,"14:31:55 ET"
AMD,235.085,Call,155,2026-03-20T16:30:00-05:00,155,"88.55 x 60","89.05 x 143",88.8,1392,mid,12360900,4011,4938,64.29%,0.89335631109965,MLFT,N/A,"15:33:20 ET"
DAVE,210.85,Put,300,2025-10-17T16:30:00-05:00,1,"87.50 x 9","91.40 x 6",91.4,1350,ask,12339000,1350,5,311.08%,-0.9816764084,MLFT,BuyToOpen,"14:55:29 ET"
ALAB,164.53,Put,210,2025-10-17T16:30:00-05:00,1,"44.80 x 27","47.80 x 34",47.8,2580,ask,12332300,2603,593,299.34%,-0.9305212494,MLFT,BuyToOpen,"14:53:24 ET"
NFLX,1182.035,Put,1255,2025-10-17T16:30:00-05:00,1,"71.75 x 13","78.60 x 22",78.6,1560,ask,12261500,1561,143,71.42%,-0.9437927167,MLFT,BuyToOpen,"15:00:34 ET"
UNH,354.6,Put,600,2026-01-16T16:30:00-06:00,92,"240.80 x 46","246.10 x 46",243.25,500,mid,12162500,500,98,0.00%,0,MLFT,ToOpen,"14:30:42 ET"
AXON,644.824,Put,750,2025-10-17T16:30:00-05:00,1,"100.10 x 1","109.00 x 16",108.99,1110,mid,12097800,3260,372,225.34%,-0.889172835,MLFT,N/A,"14:54:40 ET"
RACE,393,Put,460,2025-10-17T16:30:00-05:00,1,"65.50 x 7","69.20 x 7",67.2,1775,mid,11928000,1775,339,145.21%,-0.9793413536,SLFT,ToOpen,"14:41:07 ET"
ADBE,329.64,Put,380,2025-10-17T16:30:00-05:00,1,"46.45 x 72","51.85 x 16",49.15,2400,mid,11796000,2400,241,130.52%,-0.9801238511,SLFT,ToOpen,"14:36:43 ET"
UNH,355.25,Put,590,2026-01-16T16:30:00-06:00,92,"231.30 x 52","236.20 x 26",233.45,500,mid,11672500,1590,49,52.00%,-0.9868291303,SLFT,N/A,"15:39:01 ET"
UNH,354.6,Put,590,2026-01-16T16:30:00-06:00,92,"230.80 x 53","235.70 x 43",233.25,500,mid,11662500,500,49,0.00%,0,MLFT,ToOpen,"14:30:42 ET"
ADBE,329.71,Put,365,2025-10-17T16:30:00-05:00,1,"31.50 x 168","37.10 x 135",31.5,3690,bid,11623500,4974,557,0.00%,0,MLFT,SellToOpen,"14:47:54 ET"
MSTR,284.08,Put,380,2026-03-20T16:30:00-05:00,155,"113.45 x 9","115.50 x 9",114.46,1000,mid,11446000,1001,520,68.42%,-0.6651798901,MLET,ToOpen,"15:26:46 ET"
LULU,162.17,Put,340,2026-01-16T16:30:00-06:00,92,"173.00 x 11","178.20 x 10",175.55,650,mid,11410700,650,78,0.00%,0,SLFT,ToOpen,"14:33:03 ET"
HOOD,131.414,Call,123,2025-10-24T16:30:00-05:00,8,"10.90 x 23","11.50 x 301",11.34,10000,mid,11340000,10002,133,82.15%,0.72984566461238,MLCT,ToOpen,"15:21:50 ET"
COIN,335.069,Put,400,2025-10-17T16:30:00-05:00,1,"63.55 x 218","69.55 x 141",67.15,1650,mid,11079700,1676,542,196.34%,-0.9529332147,SLFT,ToOpen,"14:39:53 ET"
TXN,174.15,Put,195,2025-10-17T16:30:00-05:00,1,"19.20 x 102","20.85 x 17",20.05,5450,mid,10927200,5451,660,0.00%,0,SLFT,ToOpen,"14:31:00 ET"
FDS,276.1,Put,350,2025-10-17T16:30:00-05:00,1,"69.60 x 6","76.80 x 2",74.3,1470,mid,10922100,1500,10,237.47%,-0.9676680143,MLFT,ToOpen,"14:42:23 ET"
MSTR,286.93,Put,410,2025-10-17T16:30:00-05:00,1,"122.30 x 36","123.50 x 32",123.5,880,ask,10868000,1880,105,0.00%,0,MLFT,N/A,"15:00:23 ET"
FLUT,248.62,Put,340,2025-12-19T16:30:00-06:00,64,"88.80 x 4","92.90 x 4",90.5,1200,mid,10860000,1200,150,0.00%,0,MLFT,ToOpen,"14:39:59 ET"
BABA,164.89,Put,190,2025-10-17T16:30:00-05:00,1,"23.35 x 319","25.70 x 13",24.8,4350,mid,10788000,4350,820,0.00%,0,SLFT,ToOpen,"14:35:06 ET"
ALAB,164.53,Put,205,2025-10-17T16:30:00-05:00,1,"39.60 x 106","42.80 x 87",40.44,2650,mid,10716600,2672,580,268.10%,-0.9328947589,MLFT,ToOpen,"14:53:24 ET"
MSTR,284.08,Put,370,2026-03-20T16:30:00-05:00,155,"105.55 x 25","107.60 x 25",106.6,1000,mid,10660000,1013,1341,68.47%,-0.6411147476,MLET,N/A,"15:26:46 ET"
AXON,644.824,Put,780,2025-10-17T16:30:00-05:00,1,"130.50 x 4","138.70 x 4",138.7,760,ask,10541100,763,59,260.71%,-0.9076818419,MLFT,BuyToOpen,"14:54:40 ET"
ADBE,329.71,Put,380,2025-10-17T16:30:00-05:00,1,"49.15 x 68","51.80 x 132",51.8,2010,ask,10411800,5160,241,201.53%,-0.9020294061,MLFT,N/A,"14:47:54 ET"
ADBE,328.02,Put,380,2025-10-17T16:30:00-05:00,1,"49.25 x 171","53.45 x 152",51.55,2010,mid,10361500,7170,241,0.00%,0,SLFT,N/A,"15:45:34 ET"
LULU,163.79,Put,280,2026-01-16T16:30:00-06:00,92,"113.70 x 30","119.35 x 29",113.72,910,mid,10348500,1700,182,64.94%,-0.9568747438,MLFT,N/A,"14:50:33 ET"
MSTR,284.4385,Put,400,2025-10-17T16:30:00-05:00,1,"114.15 x 18","115.60 x 16",114.85,900,mid,10336500,900,88,0.00%,0,SLFT,ToOpen,"14:31:55 ET"
MSTR,286.29,Put,400,2025-10-17T16:30:00-05:00,1,"113.35 x 30","114.75 x 21",114.75,900,ask,10327500,1800,88,244.18%,-0.995142216,MLFT,N/A,"15:04:02 ET"
BABA,165.767,Put,185,2025-10-17T16:30:00-05:00,1,"18.75 x 414","19.75 x 201",19.75,5220,ask,10309500,5243,1543,151.32%,-0.9108977571,MLFT,BuyToOpen,"14:54:36 ET"
GOOGL,252.48,Put,265,2027-01-15T16:30:00-06:00,456,"40.85 x 34","41.25 x 8",41.1,2500,mid,10275000,2518,89,34.66%,-0.45022154,SLCN,ToOpen,"13:12:35 ET"
ADBE,328.02,Put,370,2025-10-17T16:30:00-05:00,1,"38.00 x 146","43.30 x 105",41.05,2470,mid,10139300,6041,222,0.00%,0,SLFT,N/A,"15:45:34 ET"
NVDA,182.71,Put,190,2026-04-17T16:30:00-05:00,183,"24.95 x 17","25.05 x 28",25.01,4000,mid,10004000,4000,580,43.65%,-0.4740260216,MLFT,ToOpen,"11:35:09 ET"
NFLX,1182.035,Put,1265,2025-10-17T16:30:00-05:00,1,"81.50 x 26","88.45 x 36",81.5,1220,bid,9943000,1222,121,71.28%,-0.9646774024,MLFT,SellToOpen,"15:00:34 ET"
ADBE,328.02,Put,375,2025-10-17T16:30:00-05:00,1,"43.85 x 141","48.85 x 110",46.1,2150,mid,9911500,7040,213,0.00%,0,SLFT,N/A,"15:45:34 ET"
RCL,298.8355,Put,340,2025-10-17T16:30:00-05:00,1,"39.55 x 18","42.80 x 5",39.55,2500,bid,9887500,2505,480,93.96%,-0.9961649271,MLFT,SellToOpen,"15:04:12 ET"
MSTR,286.29,Put,390,2025-10-17T16:30:00-05:00,1,"103.35 x 87","104.85 x 40",103.35,950,bid,9818200,1851,102,227.80%,-0.994855778,MLFT,N/A,"15:04:02 ET"
ADBE,329.71,Put,500,2026-01-16T16:30:00-06:00,92,"166.00 x 21","173.30 x 23",166,590,bid,9794000,590,41,0.00%,0,MLFT,SellToOpen,"14:47:54 ET"
RDDT,197.73,Put,230,2025-10-17T16:30:00-05:00,1,"30.85 x 206","33.15 x 240",33.15,2950,ask,9779200,3097,712,209.52%,-0.9072509222,MLFT,BuyToOpen,"15:02:04 ET"
MSTR,286.29,Put,347.5,2025-10-17T16:30:00-05:00,1,"60.85 x 39","62.20 x 39",60.85,1590,bid,9675100,1612,211,0.00%,0,MLFT,SellToOpen,"15:04:02 ET"
MSTR,286.29,Put,385,2025-10-17T16:30:00-05:00,1,"98.35 x 36","99.70 x 27",99.7,970,ask,9670900,973,91,219.40%,-0.9946925361,MLFT,BuyToOpen,"15:04:02 ET"
ADBE,329.71,Put,370,2025-10-17T16:30:00-05:00,1,"37.95 x 170","42.30 x 150",39.09,2470,mid,9655200,3571,222,0.00%,0,MLFT,ToOpen,"14:47:54 ET"
MSTR,286.29,Put,350,2025-10-17T16:30:00-05:00,1,"63.40 x 235","64.70 x 71",63.41,1490,mid,9448000,13916,1387,156.03%,-0.9928022997,MLFT,N/A,"15:04:02 ET"
MSTR,284.4385,Put,390,2025-10-17T16:30:00-05:00,1,"104.15 x 19","105.55 x 13",104.85,900,mid,9436500,901,102,0.00%,0,SLFT,ToOpen,"14:31:55 ET"
MSGE,43.45,Call,20,2026-01-16T16:30:00-06:00,92,"22.50 x 11","25.90 x 12",23.5,4000,mid,9400000,4000,0,109.96%,0.95542804080213,MLFT,ToOpen,"14:26:52 ET"
ADBE,329.71,Put,375,2025-10-17T16:30:00-05:00,1,"43.75 x 132","46.25 x 123",43.75,2140,bid,9362500,4890,213,0.00%,0,MLFT,N/A,"14:47:54 ET"
ADBE,329.47,Put,580,2026-01-16T16:30:00-06:00,92,"246.40 x 44","253.10 x 34",252.85,370,mid,9355400,1070,61,76.52%,-0.917297934,MLFT,N/A,"14:52:32 ET"
MSTR,283.17,Put,320,2026-02-20T16:30:00-06:00,127,"66.50 x 1","67.00 x 10",66.67,1400,mid,9333800,1408,526,69.27%,-0.5308236511,MLET,ToOpen,"15:20:17 ET"
MSGE,43.45,Call,20,2025-10-17T16:30:00-05:00,1,"23.00 x 14","25.60 x 27",23,4000,bid,9200000,4000,4000,"1,167.87%",0.94239292324172,MLFT,N/A,"14:26:52 ET"
LULU,163.79,Put,280,2026-01-16T16:30:00-06:00,92,"113.70 x 30","119.35 x 29",113.71,790,mid,8983000,1700,182,64.94%,-0.9568747438,MLFT,N/A,"14:50:33 ET"
ADBE,329.64,Put,375,2025-10-17T16:30:00-05:00,1,"41.15 x 77","46.35 x 7",43.7,2000,mid,8740000,2000,213,0.00%,0,SLFT,ToOpen,"14:36:43 ET"
TTD,49.9,Put,70,2025-10-17T16:30:00-05:00,1,"19.25 x 609","20.65 x 262",19.25,4480,bid,8624000,4662,4145,469.23%,-0.8953495481,MLFT,SellToOpen,"15:03:07 ET"
NVDA,182.71,Call,190,2026-04-17T16:30:00-05:00,183,"21.50 x 34","21.60 x 77",21.49,4000,bid,8596000,4050,2868,45.10%,0.53842705838929,MLFT,SellToOpen,"11:35:09 ET"
FLUT,248.62,Put,280,2025-10-17T16:30:00-05:00,1,"28.80 x 17","32.00 x 13",30.5,2800,mid,8540000,2800,342,0.00%,0,MLFT,ToOpen,"14:39:59 ET"
KKR,117.55,Put,135,2025-10-17T16:30:00-05:00,1,"15.40 x 189","18.10 x 17",15.57,5460,mid,8501200,6642,2251,0.00%,0,MLFT,ToOpen,"14:54:13 ET"
ACN,235.52,Put,360,2026-01-16T16:30:00-06:00,92,"123.00 x 21","126.40 x 21",126.4,670,ask,8468800,670,212,59.41%,-0.9038849278,MLFT,BuyToOpen,"14:50:11 ET"
ACN,234.11,Put,360,2026-01-16T16:30:00-06:00,92,"124.10 x 178","126.70 x 148",125.6,670,mid,8415200,1340,212,0.00%,0,SLFT,N/A,"15:43:50 ET"
FDS,276.1,Put,330,2025-10-17T16:30:00-05:00,1,"52.30 x 12","55.20 x 12",54.3,1500,mid,8145000,1500,190,188.47%,-0.9607673393,MLFT,ToOpen,"14:42:23 ET"
